legislator,volunteer,date,typeOfContact,notes,support,state
Sen. Richard Devlin,Marcella Martinson,12/2/2016,Met Legislator,"In Attendance: Johnathan DeBruyn, Marcella Martinson, Sen. Devlin, the Senator's aide.
From Jonathan's meeting notes: ""We explained the misconception about the open vs. closed conventions, and I'm not sure how much he bought (into) it or not, as he didn't really fully respond to that in particular (he just kind of narrowed his eyes and looked thoughtful). But he did repeatedly indicate that he would review the materials, so I think he at least is curious. He has introduced multiple campaign finance bills in the past, and I got the impression that his main problem with supporting the bill is that he gets a lot of people coming to him with their pet solutions for problems like campaign finance reform, and usually they haven't done enough research or really thought it through, and there are often some bigger or more complicated issues at play. He spoke at length about various situations in his experience as a legislator here in Oregon (including his being originally elected during the 2 yrs that OR had a campaign finance reform law in place), and I got the impression that he sees himself as a ""details"" guy and that he is hesitant to support something that seems simplistic. But I think our points about the open vs. closed convention landed, and I think the fact that the bill has bipartisan support surprised him. We also emphasized that this bill doesn't actually overthrow Citizens United or anything like that, it simply puts a bunch of elected state officials like Senator Devlin in a room to discuss these very issues and to solve them. In essence we were trying to show him that our bill was the best way to achieve his own goals. I don't know if we really were able to drive that point home as much as I would have liked, but overall I feel like we planted some good seeds. He was friendly and very kind, and very willing to talk at length about his views and his experience.",2 - Not Confirmed,OR
Kathleen Taylor,Hannah Zaiv,1/4/2017,Phone call with Legislator,Senator Taylor said she is very much in favor of the measure and has been actively working on it.,1 - Supportive,OR
Kathleen Taylor,Sarah March,1/2/2017,email response from legislator,"I received a response from Michelle Hansmann, Rep. Taylor's assistant. She stated that Rep. Taylor supports campaign finance reform and has provided testimony in favor of the accountable elections proposal that recently passed in Portland. She also disagrees with Citizens United and hopes that it will be overturned. She has completed questionnaires with Common Cause on this issue which can be found on her website or Facebook page. She is also open to scheduling a meeting with me. ",1 - Supportive,OR
Mark Hass,Louis Lamp,1/9/2017,Left voicemail,Thanked Senator Hass and his assistant Dominique for their respective help in sponsoring the joint memoriam for Free and Fair Elections. ,1 - Supportive,OR
Arnie Roblan,Jacob Strandlen & Mindy Lowden,12/14/2016,Met Legislator,Meeting was short and sweet. He agreed that a constitutional amendment is the only way to fix the problem. Signed on as co-sponsor.,1 - Supportive,OR
Anderson,Ryan,1/23/2017,Left voicemail & emailed,"Called the Senator's office, no answer. I left a voicemail and sent a followup email about scheduling a meeting in February. If no response from Anderson's office by Thursday, I'll followup. ",,OR
Jeff Kruse,Ryan,1/24/2017,Phone call with Legislator,"I had a brief phone conversation with the senator. After a few minutes of cordial conversation I asked if it would be possible to schedule a meeting for February. He told he's not allowed to schedule meetings himself but if I contacted his chief of staff (Lexi), he would be more than happy to meet with us. I sent Lexi an email and am waiting on her reply. If I don't hear back by Friday, I'll followup. ",,OR
A. Roblin,Paula Ellis,1/26/2017,Emailed legislator,"Do to sad events I missed the Town Hall meeting with the Senator on the 17th. My mother died on the 16th of January and I left for Michigan that evening. I've Emailed the Senator apologizing and explaining for my ""no show"". Also thanking him for all he has done through the years with his work in education. And how pleased I was with his willingness to step forward and join the efforts along with Wolf pac to eliminate corporate corruption in America by over turning citizens united . The next time I see him at a function here on the coast I plan to personally tell him just that. ",1 - Supportive,OR
Dennis Linthicum ,Berl Gilworth,1/24/2017,Left voicemail,"Got voicemail twice, so left message requesting his support.",2 - Not Confirmed,OR
Dennis Linthicum,Michael J Fitzgerald,1/31/2017,Left voicemail,"Left voice mail requesting support for SJM2 and requesting meeting in Salem week of Feb 13th, 2017",N/A,OR
Jackie Winters,Chris Chaplin,2/3/2017,Met with staff,"I met with her staff, Pam, for a second time. Very positive, solid relationship-building conversation. Spoke about a recent injury she had and the drugs she'd been put on, and joked we should have talked a few days ago when she was still taking them. Discussing the bill, when I pushed for her sense of how supportive Winters might be, she reiterated several times how ""thoughtful"" Winters is, which seemed to mean that she often doesn't make up her mind until she gets on the floor to vote and is quite unpredictable. She also said Winters (and she) read everything that comes across her desk, and that she has a strong work ethic (staying til 7:30 many nights, regular committee meetings on Saturdays). I empathized. She said ""the question she'd probably ask about is can this be limited,"" and I explained yes, Article V, DOJ, etc. She also said it might be more likely she'd support this because it's ""just an SJM"" and therefore it's just something we're asking Congress to do, not something that has immediate consequences or becomes law right away. Left on very good terms, she said she'd search her email to see if I'd already sent packet/handouts. She said it would be hard to meet with Winters but if it's a constituent they could arrange for Winters to say hi at the end of the meeting with staff (Pam or one of 3 others she's training). Overall still noncommittal - seems Winters' nature - but built a solid relationship in this conversation. ",2 - Not Confirmed,OR
